Date,Kwh,year,month,day,city
2008-01-01,13452973.4912704,2008,01,01,AGIA TRIADA
2008-01-01,80240445.1828456,2008,01,01,SIDIROKASTRO
2008-01-01,15465744.6680383,2008,01,01,KIPI
2008-01-01,0.0,2008,01,01,NEA MESIMVRIA
2008-01-02,42513219.9610929,2008,01,02,AGIA TRIADA
2008-01-02,105269146.723296,2008,01,02,SIDIROKASTRO
2008-01-02,16948647.4080844,2008,01,02,KIPI
2008-01-02,0.0,2008,01,02,NEA MESIMVRIA
2008-01-03,51098394.696487,2008,01,03,AGIA TRIADA
2008-01-03,105446390.665175,2008,01,03,SIDIROKASTRO
2008-01-03,8108860.21954957,2008,01,03,KIPI
2008-01-03,0.0,2008,01,03,NEA MESIMVRIA
2008-01-04,50215333.2664375,2008,01,04,AGIA TRIADA
2008-01-04,105557106.971905,2008,01,04,SIDIROKASTRO
2008-01-04,557840.473891291,2008,01,04,KIPI
2008-01-04,0.0,2008,01,04,NEA MESIMVRIA
2008-01-05,54054627.5107925,2008,01,05,AGIA TRIADA
2008-01-05,105336941.975093,2008,01,05,SIDIROKASTRO
2008-01-05,0.0,2008,01,05,KIPI
2008-01-05,0.0,2008,01,05,NEA MESIMVRIA
2008-01-06,43025047.7765255,2008,01,06,AGIA TRIADA
2008-01-06,104584211.194323,2008,01,06,SIDIROKASTRO
2008-01-06,0.0,2008,01,06,KIPI
2008-01-06,0.0,2008,01,06,NEA MESIMVRIA
2008-01-07,47136160.6448369,2008,01,07,AGIA TRIADA
2008-01-07,105567158.949537,2008,01,07,SIDIROKASTRO
2008-01-07,0.0,2008,01,07,KIPI
2008-01-07,0.0,2008,01,07,NEA MESIMVRIA
2008-01-08,55225734.3563363,2008,01,08,AGIA TRIADA
2008-01-08,105642782.29011,2008,01,08,SIDIROKASTRO
2008-01-08,0.0,2008,01,08,KIPI
2008-01-08,0.0,2008,01,08,NEA MESIMVRIA
2008-01-09,38020837.8600026,2008,01,09,AGIA TRIADA
2008-01-09,105635132.112443,2008,01,09,SIDIROKASTRO
2008-01-09,0.0,2008,01,09,KIPI
2008-01-09,0.0,2008,01,09,NEA MESIMVRIA
2008-01-10,52480474.2427011,2008,01,10,AGIA TRIADA
2008-01-10,105639568.770711,2008,01,10,SIDIROKASTRO
2008-01-10,0.0,2008,01,10,KIPI
2008-01-10,0.0,2008,01,10,NEA MESIMVRIA
2008-01-11,54402697.7160861,2008,01,11,AGIA TRIADA
2008-01-11,102560472.334731,2008,01,11,SIDIROKASTRO
2008-01-11,0.0,2008,01,11,KIPI
2008-01-11,0.0,2008,01,11,NEA MESIMVRIA
2008-01-12,25580478.2600587,2008,01,12,AGIA TRIADA
2008-01-12,100573872.419045,2008,01,12,SIDIROKASTRO
2008-01-12,0.0,2008,01,12,KIPI
2008-01-12,0.0,2008,01,12,NEA MESIMVRIA
2008-01-13,8066894.10261549,2008,01,13,AGIA TRIADA
2008-01-13,102263260.708477,2008,01,13,SIDIROKASTRO
2008-01-13,0.0,2008,01,13,KIPI
2008-01-13,0.0,2008,01,13,NEA MESIMVRIA
2008-01-14,35958389.0486813,2008,01,14,AGIA TRIADA
2008-01-14,105529419.555639,2008,01,14,SIDIROKASTRO
2008-01-14,91988.6421575379,2008,01,14,KIPI
2008-01-14,0.0,2008,01,14,NEA MESIMVRIA
2008-01-15,41337194.9521384,2008,01,15,AGIA TRIADA
2008-01-15,106638717.556247,2008,01,15,SIDIROKASTRO
2008-01-15,0.0,2008,01,15,KIPI
2008-01-15,0.0,2008,01,15,NEA MESIMVRIA
2008-01-16,47278527.7519402,2008,01,16,AGIA TRIADA
2008-01-16,105591076.874191,2008,01,16,SIDIROKASTRO
2008-01-16,0.0,2008,01,16,KIPI
2008-01-16,0.0,2008,01,16,NEA MESIMVRIA
2008-01-17,39579281.181288,2008,01,17,AGIA TRIADA
2008-01-17,104383371.791675,2008,01,17,SIDIROKASTRO
2008-01-17,0.0,2008,01,17,KIPI
2008-01-17,0.0,2008,01,17,NEA MESIMVRIA
2008-01-18,31280671.8333889,2008,01,18,AGIA TRIADA
2008-01-18,104853724.284865,2008,01,18,SIDIROKASTRO
2008-01-18,0.0,2008,01,18,KIPI
2008-01-18,0.0,2008,01,18,NEA MESIMVRIA
2008-01-19,19213852.2489804,2008,01,19,AGIA TRIADA
2008-01-19,103313603.415495,2008,01,19,SIDIROKASTRO
2008-01-19,0.0,2008,01,19,KIPI
2008-01-19,0.0,2008,01,19,NEA MESIMVRIA
2008-01-20,7021178.28157382,2008,01,20,AGIA TRIADA
2008-01-20,96637700.3371378,2008,01,20,SIDIROKASTRO
2008-01-20,0.0,2008,01,20,KIPI
2008-01-20,0.0,2008,01,20,NEA MESIMVRIA
2008-01-21,31640825.7366657,2008,01,21,AGIA TRIADA
2008-01-21,105310877.997692,2008,01,21,SIDIROKASTRO
2008-01-21,0.0,2008,01,21,KIPI
2008-01-21,0.0,2008,01,21,NEA MESIMVRIA
2008-01-22,28617221.8493907,2008,01,22,AGIA TRIADA
2008-01-22,103108583.101795,2008,01,22,SIDIROKASTRO
2008-01-22,3216214.48072926,2008,01,22,KIPI
2008-01-22,0.0,2008,01,22,NEA MESIMVRIA
2008-01-23,24965334.5041871,2008,01,23,AGIA TRIADA
2008-01-23,105280321.764801,2008,01,23,SIDIROKASTRO
2008-01-23,3202180.30665793,2008,01,23,KIPI
2008-01-23,0.0,2008,01,23,NEA MESIMVRIA
2008-01-24,35546537.9164242,2008,01,24,AGIA TRIADA
2008-01-24,105774903.527086,2008,01,24,SIDIROKASTRO
2008-01-24,3178800.12738115,2008,01,24,KIPI
2008-01-24,0.0,2008,01,24,NEA MESIMVRIA
2008-01-25,35635362.545832,2008,01,25,AGIA TRIADA
2008-01-25,105583938.190962,2008,01,25,SIDIROKASTRO
2008-01-25,480621.836342369,2008,01,25,KIPI
2008-01-25,0.0,2008,01,25,NEA MESIMVRIA
2008-01-26,33510160.3191034,2008,01,26,AGIA TRIADA
2008-01-26,105423173.265511,2008,01,26,SIDIROKASTRO
2008-01-26,0.0,2008,01,26,KIPI
2008-01-26,0.0,2008,01,26,NEA MESIMVRIA
2008-01-27,23978490.0512267,2008,01,27,AGIA TRIADA
2008-01-27,104133684.670289,2008,01,27,SIDIROKASTRO
2008-01-27,0.0,2008,01,27,KIPI
2008-01-27,0.0,2008,01,27,NEA MESIMVRIA
2008-01-28,52029127.7797146,2008,01,28,AGIA TRIADA
2008-01-28,105562900.202377,2008,01,28,SIDIROKASTRO
2008-01-28,449.227515045594,2008,01,28,KIPI
2008-01-28,0.0,2008,01,28,NEA MESIMVRIA
